Quiniela - Temporada,2025-26,Jornada,1

N°,Combinación,Coste (€)
924,2111X11X211111,0.75
925,2111X112111111,0.75
926,2111X112X11111,0.75
927,2111X112211111,0.75
928,2111X1X1111111,0.75
929,2111X1X1X11111,0.75
930,2111X1X1211111,0.75
931,2111X1XX111111,0.75
932,2111X1XXX11111,0.75
933,2111X1XX211111,0.75
934,2111X1X2111111,0.75
935,2111X1X2X11111,0.75
936,2111X1X2211111,0.75
937,2111XX11111111,0.75
938,2111XX11X11111,0.75
939,2111XX11211111,0.75
940,2111XX1X111111,0.75
941,2111XX1XX11111,0.75
942,2111XX1X211111,0.75
943,2111XX12111111,0.75
944,2111XX12X11111,0.75
945,2111XX12211111,0.75
946,2111XXX1111111,0.75
947,2111XXX1X11111,0.75
948,2111XXX1211111,0.75
949,2111XXXX111111,0.75
950,2111XXXXX11111,0.75
951,2111XXXX211111,0.75
952,2111XXX2111111,0.75
953,2111XXX2X11111,0.75
954,2111XXX2211111,0.75
955,2111X211111111,0.75
956,2111X211X11111,0.75
957,2111X211211111,0.75
958,2111X21X111111,0.75
959,2111X21XX11111,0.75
960,2111X21X211111,0.75
961,2111X212111111,0.75
962,2111X212X11111,0.75
963,2111X212211111,0.75
964,2111X2X1111111,0.75
965,2111X2X1X11111,0.75
966,2111X2X1211111,0.75
967,2111X2XX111111,0.75
968,2111X2XXX11111,0.75
969,2111X2XX211111,0.75
970,2111X2X2111111,0.75
971,2111X2X2X11111,0.75
972,2111X2X2211111,0.75
973,211X1111111111,0.75
974,211X1111X11111,0.75
975,211X1111211111,0.75
976,211X111X111111,0.75
977,211X111XX11111,0.75
978,211X111X211111,0.75
979,211X1112111111,0.75
980,211X1112X11111,0.75
981,211X1112211111,0.75
982,211X11X1111111,0.75
983,211X11X1X11111,0.75
984,211X11X1211111,0.75
985,211X11XX111111,0.75
986,211X11XXX11111,0.75
987,211X11XX211111,0.75
988,211X11X2111111,0.75
989,211X11X2X11111,0.75
990,211X11X2211111,0.75
991,211X1X11111111,0.75
992,211X1X11X11111,0.75
993,211X1X11211111,0.75
994,211X1X1X111111,0.75
995,211X1X1XX11111,0.75
996,211X1X1X211111,0.75
997,211X1X12111111,0.75
998,211X1X12X11111,0.75
999,211X1X12211111,0.75
1000,211X1XX1111111,0.75
1001,211X1XX1X11111,0.75
1002,211X1XX1211111,0.75
1003,211X1XXX111111,0.75
1004,211X1XXXX11111,0.75
1005,211X1XXX211111,0.75
1006,211X1XX2111111,0.75
1007,211X1XX2X11111,0.75
1008,211X1XX2211111,0.75
1009,211X1211111111,0.75
1010,211X1211X11111,0.75
1011,211X1211211111,0.75
1012,211X121X111111,0.75
1013,211X121XX11111,0.75
1014,211X121X211111,0.75
1015,211X1212111111,0.75
1016,211X1212X11111,0.75
1017,211X1212211111,0.75
1018,211X12X1111111,0.75
1019,211X12X1X11111,0.75
1020,211X12X1211111,0.75
1021,211X12XX111111,0.75
1022,211X12XXX11111,0.75
1023,211X12XX211111,0.75
1024,211X12X2111111,0.75
1025,211X12X2X11111,0.75
1026,211X12X2211111,0.75
1027,211XX111111111,0.75
1028,211XX111X11111,0.75
1029,211XX111211111,0.75
1030,211XX11X111111,0.75
1031,211XX11XX11111,0.75
1032,211XX11X211111,0.75
1033,211XX112111111,0.75
1034,211XX112X11111,0.75
1035,211XX112211111,0.75
1036,211XX1X1111111,0.75
1037,211XX1X1X11111,0.75
1038,211XX1X1211111,0.75
1039,211XX1XX111111,0.75
1040,211XX1XXX11111,0.75
1041,211XX1XX211111,0.75
1042,211XX1X2111111,0.75
1043,211XX1X2X11111,0.75
1044,211XX1X2211111,0.75
1045,211XXX11111111,0.75
1046,211XXX11X11111,0.75
1047,211XXX11211111,0.75
1048,211XXX1X111111,0.75
1049,211XXX1XX11111,0.75
1050,211XXX1X211111,0.75
1051,211XXX12111111,0.75
1052,211XXX12X11111,0.75
1053,211XXX12211111,0.75
1054,211XXXX1111111,0.75
1055,211XXXX1X11111,0.75
1056,211XXXX1211111,0.75
1057,211XXXXX111111,0.75
1058,211XXXXXX11111,0.75
1059,211XXXXX211111,0.75
1060,211XXXX2111111,0.75
1061,211XXXX2X11111,0.75
1062,211XXXX2211111,0.75
1063,211XX211111111,0.75
1064,211XX211X11111,0.75
1065,211XX211211111,0.75
1066,211XX21X111111,0.75
1067,211XX21XX11111,0.75
1068,211XX21X211111,0.75
1069,211XX212111111,0.75
1070,211XX212X11111,0.75
1071,211XX212211111,0.75
1072,211XX2X1111111,0.75
1073,211XX2X1X11111,0.75
1074,211XX2X1211111,0.75
1075,211XX2XX111111,0.75
1076,211XX2XXX11111,0.75
1077,211XX2XX211111,0.75
1078,211XX2X2111111,0.75
1079,211XX2X2X11111,0.75
1080,211XX2X2211111,0.75
1081,2X111111111111,0.75
1082,2X111111X11111,0.75
1083,2X111111211111,0.75
1084,2X11111X111111,0.75
1085,2X11111XX11111,0.75
1086,2X11111X211111,0.75
1087,2X111112111111,0.75
1088,2X111112X11111,0.75
1089,2X111112211111,0.75
1090,2X1111X1111111,0.75
1091,2X1111X1X11111,0.75
1092,2X1111X1211111,0.75
1093,2X1111XX111111,0.75
1094,2X1111XXX11111,0.75
1095,2X1111XX211111,0.75
1096,2X1111X2111111,0.75
1097,2X1111X2X11111,0.75
1098,2X1111X2211111,0.75
1099,2X111X11111111,0.75
1100,2X111X11X11111,0.75
1101,2X111X11211111,0.75
1102,2X111X1X111111,0.75
1103,2X111X1XX11111,0.75
1104,2X111X1X211111,0.75
1105,2X111X12111111,0.75
1106,2X111X12X11111,0.75
1107,2X111X12211111,0.75
1108,2X111XX1111111,0.75
1109,2X111XX1X11111,0.75
1110,2X111XX1211111,0.75
1111,2X111XXX111111,0.75
1112,2X111XXXX11111,0.75
1113,2X111XXX211111,0.75
1114,2X111XX2111111,0.75
1115,2X111XX2X11111,0.75
1116,2X111XX2211111,0.75
1117,2X111211111111,0.75
1118,2X111211X11111,0.75
1119,2X111211211111,0.75
1120,2X11121X111111,0.75
1121,2X11121XX11111,0.75
1122,2X11121X211111,0.75
1123,2X111212111111,0.75
1124,2X111212X11111,0.75
1125,2X111212211111,0.75
1126,2X1112X1111111,0.75
1127,2X1112X1X11111,0.75
1128,2X1112X1211111,0.75
1129,2X1112XX111111,0.75
1130,2X1112XXX11111,0.75
1131,2X1112XX211111,0.75
1132,2X1112X2111111,0.75
1133,2X1112X2X11111,0.75
1134,2X1112X2211111,0.75
1135,2X11X111111111,0.75
1136,2X11X111X11111,0.75
1137,2X11X111211111,0.75
1138,2X11X11X111111,0.75
1139,2X11X11XX11111,0.75
1140,2X11X11X211111,0.75
1141,2X11X112111111,0.75
1142,2X11X112X11111,0.75
1143,2X11X112211111,0.75
1144,2X11X1X1111111,0.75
1145,2X11X1X1X11111,0.75
1146,2X11X1X1211111,0.75
1147,2X11X1XX111111,0.75
1148,2X11X1XXX11111,0.75
1149,2X11X1XX211111,0.75
1150,2X11X1X2111111,0.75
1151,2X11X1X2X11111,0.75
1152,2X11X1X2211111,0.75
1153,2X11XX11111111,0.75
1154,2X11XX11X11111,0.75
1155,2X11XX11211111,0.75
1156,2X11XX1X111111,0.75
1157,2X11XX1XX11111,0.75
1158,2X11XX1X211111,0.75
1159,2X11XX12111111,0.75
1160,2X11XX12X11111,0.75
1161,2X11XX12211111,0.75
1162,2X11XXX1111111,0.75
1163,2X11XXX1X11111,0.75
1164,2X11XXX1211111,0.75
1165,2X11XXXX111111,0.75
1166,2X11XXXXX11111,0.75
1167,2X11XXXX211111,0.75
1168,2X11XXX2111111,0.75
1169,2X11XXX2X11111,0.75
1170,2X11XXX2211111,0.75
1171,2X11X211111111,0.75
1172,2X11X211X11111,0.75
1173,2X11X211211111,0.75
1174,2X11X21X111111,0.75
1175,2X11X21XX11111,0.75
1176,2X11X21X211111,0.75
1177,2X11X212111111,0.75
1178,2X11X212X11111,0.75
1179,2X11X212211111,0.75
1180,2X11X2X1111111,0.75
1181,2X11X2X1X11111,0.75
1182,2X11X2X1211111,0.75
1183,2X11X2XX111111,0.75
1184,2X11X2XXX11111,0.75
1185,2X11X2XX211111,0.75
1186,2X11X2X2111111,0.75
1187,2X11X2X2X11111,0.75
1188,2X11X2X2211111,0.75
1189,2X1X1111111111,0.75
1190,2X1X1111X11111,0.75
1191,2X1X1111211111,0.75
1192,2X1X111X111111,0.75
1193,2X1X111XX11111,0.75
1194,2X1X111X211111,0.75
1195,2X1X1112111111,0.75
1196,2X1X1112X11111,0.75
1197,2X1X1112211111,0.75
1198,2X1X11X1111111,0.75
1199,2X1X11X1X11111,0.75
1200,2X1X11X1211111,0.75
1201,2X1X11XX111111,0.75
1202,2X1X11XXX11111,0.75
1203,2X1X11XX211111,0.75
1204,2X1X11X2111111,0.75
1205,2X1X11X2X11111,0.75
1206,2X1X11X2211111,0.75
1207,2X1X1X11111111,0.75
1208,2X1X1X11X11111,0.75
1209,2X1X1X11211111,0.75
1210,2X1X1X1X111111,0.75
1211,2X1X1X1XX11111,0.75
1212,2X1X1X1X211111,0.75
1213,2X1X1X12111111,0.75
1214,2X1X1X12X11111,0.75
1215,2X1X1X12211111,0.75
1216,2X1X1XX1111111,0.75
1217,2X1X1XX1X11111,0.75
1218,2X1X1XX1211111,0.75
1219,2X1X1XXX111111,0.75
1220,2X1X1XXXX11111,0.75
1221,2X1X1XXX211111,0.75
1222,2X1X1XX2111111,0.75
1223,2X1X1XX2X11111,0.75
1224,2X1X1XX2211111,0.75
1225,2X1X1211111111,0.75
1226,2X1X1211X11111,0.75
1227,2X1X1211211111,0.75
1228,2X1X121X111111,0.75
1229,2X1X121XX11111,0.75
1230,2X1X121X211111,0.75
1231,2X1X1212111111,0.75
1232,2X1X1212X11111,0.75
1233,2X1X1212211111,0.75
1234,2X1X12X1111111,0.75
1235,2X1X12X1X11111,0.75
1236,2X1X12X1211111,0.75
1237,2X1X12XX111111,0.75
1238,2X1X12XXX11111,0.75
1239,2X1X12XX211111,0.75
1240,2X1X12X2111111,0.75
1241,2X1X12X2X11111,0.75
1242,2X1X12X2211111,0.75
1243,2X1XX111111111,0.75
1244,2X1XX111X11111,0.75
1245,2X1XX111211111,0.75
1246,2X1XX11X111111,0.75
1247,2X1XX11XX11111,0.75
1248,2X1XX11X211111,0.75
1249,2X1XX112111111,0.75
1250,2X1XX112X11111,0.75
1251,2X1XX112211111,0.75
1252,2X1XX1X1111111,0.75
1253,2X1XX1X1X11111,0.75
1254,2X1XX1X1211111,0.75
1255,2X1XX1XX111111,0.75
1256,2X1XX1XXX11111,0.75
1257,2X1XX1XX211111,0.75
1258,2X1XX1X2111111,0.75
1259,2X1XX1X2X11111,0.75
1260,2X1XX1X2211111,0.75
1261,2X1XXX11111111,0.75
1262,2X1XXX11X11111,0.75
1263,2X1XXX11211111,0.75
1264,2X1XXX1X111111,0.75
1265,2X1XXX1XX11111,0.75
1266,2X1XXX1X211111,0.75
1267,2X1XXX12111111,0.75
1268,2X1XXX12X11111,0.75
1269,2X1XXX12211111,0.75
1270,2X1XXXX1111111,0.75
1271,2X1XXXX1X11111,0.75
1272,2X1XXXX1211111,0.75
1273,2X1XXXXX111111,0.75
1274,2X1XXXXXX11111,0.75
1275,2X1XXXXX211111,0.75
1276,2X1XXXX2111111,0.75
1277,2X1XXXX2X11111,0.75
1278,2X1XXXX2211111,0.75
1279,2X1XX211111111,0.75
1280,2X1XX211X11111,0.75
1281,2X1XX211211111,0.75
1282,2X1XX21X111111,0.75
1283,2X1XX21XX11111,0.75
1284,2X1XX21X211111,0.75
1285,2X1XX212111111,0.75
1286,2X1XX212X11111,0.75
1287,2X1XX212211111,0.75
1288,2X1XX2X1111111,0.75
1289,2X1XX2X1X11111,0.75
1290,2X1XX2X1211111,0.75
1291,2X1XX2XX111111,0.75
1292,2X1XX2XXX11111,0.75
1293,2X1XX2XX211111,0.75
1294,2X1XX2X2111111,0.75
1295,2X1XX2X2X11111,0.75
1296,2X1XX2X2211111,0.75

Total combinaciones:,1296
Coste total:,972.00 €
